year,month,major_category,hellowork_active_job_count,estimated_national_active_job_count_base
2026,1,建設・採掘,213004,376291
2026,1,生産工程,385574,736096
2026,1,管理,5763,48025
2026,1,販売,361134,1297292
2026,1,輸送・機械運転,246672,463583
2026,1,農林漁業,15359,23629
2026,1,運搬・清掃・包装等,330890,666927
2026,2,サービス,919529,2025905
2026,2,事務,442130,1468863
2026,2,保安,88881,197513
2026,2,専門・技術,998823,2948363
2026,2,建設・採掘,218658,386241
2026,2,生産工程,392750,749795
2026,2,管理,5974,49783
2026,2,販売,363460,1305568
2026,2,輸送・機械運転,248544,467083
2026,2,農林漁業,16723,25728
2026,2,運搬・清掃・包装等,338744,682783
