year,month,major_category,estat_job_count,coverage_rate,estimated_national_job_count,coverage_source,notes
2023,8,専門・技術,988045,0.34,,default_heuristic,レビュー用の見直し後初期値
2023,8,建設・採掘,234030,0.55,,default_heuristic,レビュー用の見直し後初期値
2023,8,生産工程,434646,0.50,,default_heuristic,レビュー用の見直し後初期値
2023,8,管理,6886,0.20,,default_heuristic,レビュー用の見直し後初期値
2023,8,販売,430350,0.35,,default_heuristic,レビュー用の見直し後初期値
2023,8,輸送・機械運転,263972,0.50,,default_heuristic,レビュー用の見直し後初期値
2023,8,農林漁業,17077,0.65,,default_heuristic,レビュー用の見直し後初期値
2023,8,運搬・清掃・包装等,406620,0.48,,default_heuristic,レビュー用の見直し後初期値
2023,8,集計区分,288714,,,,
2023,9,サービス,1052675,0.45,,default_heuristic,レビュー用の見直し後初期値
2023,9,事務,421160,0.35,,default_heuristic,レビュー用の見直し後初期値
2023,9,保安,82732,0.45,,default_heuristic,レビュー用の見直し後初期値
2023,9,分類不能,0,,,,
2023,9,専門・技術,983009,0.34,,default_heuristic,レビュー用の見直し後初期値
2023,9,建設・採掘,235058,0.55,,default_heuristic,レビュー用の見直し後初期値
2023,9,生産工程,442324,0.50,,default_heuristic,レビュー用の見直し後初期値
2023,9,管理,6989,0.20,,default_heuristic,レビュー用の見直し後初期値
2023,9,販売,431720,0.35,,default_heuristic,レビュー用の見直し後初期値
2023,9,輸送・機械運転,263704,0.50,,default_heuristic,レビュー用の見直し後初期値
2023,9,農林漁業,17048,0.65,,default_heuristic,レビュー用の見直し後初期値
2023,9,運搬・清掃・包装等,415276,0.48,,default_heuristic,レビュー用の見直し後初期値
2023,9,集計区分,290601,,,,
2023,10,サービス,1075660,0.45,,default_heuristic,レビュー用の見直し後初期値
2023,10,事務,427466,0.35,,default_heuristic,レビュー用の見直し後初期値
2023,10,保安,85397,0.45,,default_heuristic,レビュー用の見直し後初期値
2023,10,分類不能,0,,,,
2023,10,専門・技術,1006626,0.34,,default_heuristic,レビュー用の見直し後初期値
2023,10,建設・採掘,237874,0.55,,default_heuristic,レビュー用の見直し後初期値
2023,10,生産工程,445982,0.50,,default_heuristic,レビュー用の見直し後初期値
2023,10,管理,6994,0.20,,default_heuristic,レビュー用の見直し後初期値
2023,10,販売,440100,0.35,,default_heuristic,レビュー用の見直し後初期値
2023,10,輸送・機械運転,268644,0.50,,default_heuristic,レビュー用の見直し後初期値
2023,10,農林漁業,17055,0.65,,default_heuristic,レビュー用の見直し後初期値
2023,10,運搬・清掃・包装等,417116,0.48,,default_heuristic,レビュー用の見直し後初期値
2023,10,集計区分,297373,,,,
2023,11,サービス,1067209,0.45,,default_heuristic,レビュー用の見直し後初期値
2023,11,事務,420638,0.35,,default_heuristic,レビュー用の見直し後初期値
2023,11,保安,85814,0.45,,default_heuristic,レビュー用の見直し後初期値
2023,11,分類不能,0,,,,
2023,11,専門・技術,1004053,0.34,,default_heuristic,レビュー用の見直し後初期値
2023,11,建設・採掘,235172,0.55,,default_heuristic,レビュー用の見直し後初期値
2023,11,生産工程,434448,0.50,,default_heuristic,レビュー用の見直し後初期値
2023,11,管理,6898,0.20,,default_heuristic,レビュー用の見直し後初期値
2023,11,販売,433108,0.35,,default_heuristic,レビュー用の見直し後初期値
2023,11,輸送・機械運転,263622,0.50,,default_heuristic,レビュー用の見直し後初期値
2023,11,農林漁業,16892,0.65,,default_heuristic,レビュー用の見直し後初期値
2023,11,運搬・清掃・包装等,397886,0.48,,default_heuristic,レビュー用の見直し後初期値
2023,11,集計区分,294180,,,,
2023,12,サービス,1028662,0.45,,default_heuristic,レビュー用の見直し後初期値
2023,12,事務,420920,0.35,,default_heuristic,レビュー用の見直し後初期値
2023,12,保安,83654,0.45,,default_heuristic,レビュー用の見直し後初期値
2023,12,分類不能,0,,,,
2023,12,専門・技術,1000332,0.34,,default_heuristic,レビュー用の見直し後初期値
2023,12,建設・採掘,228154,0.55,,default_heuristic,レビュー用の見直し後初期値
2023,12,生産工程,419286,0.50,,default_heuristic,レビュー用の見直し後初期値
2023,12,管理,6638,0.20,,default_heuristic,レビュー用の見直し後初期値
2023,12,販売,420070,0.35,,default_heuristic,レビュー用の見直し後初期値
2023,12,輸送・機械運転,257440,0.50,,default_heuristic,レビュー用の見直し後初期値
2023,12,農林漁業,15814,0.65,,default_heuristic,レビュー用の見直し後初期値
2023,12,運搬・清掃・包装等,377142,0.48,,default_heuristic,レビュー用の見直し後初期値
2023,12,集計区分,287528,,,,
2024,1,サービス,995971,0.45,,default_heuristic,レビュー用の見直し後初期値
2024,1,事務,451278,0.35,,default_heuristic,レビュー用の見直し後初期値
2024,1,保安,80999,0.45,,default_heuristic,レビュー用の見直し後初期値
2024,1,分類不能,0,,,,
2024,1,専門・技術,1018695,0.34,,default_heuristic,レビュー用の見直し後初期値
2024,1,建設・採掘,225764,0.55,,default_heuristic,レビュー用の見直し後初期値
2024,1,生産工程,410944,0.50,,default_heuristic,レビュー用の見直し後初期値
2024,1,管理,6543,0.20,,default_heuristic,レビュー用の見直し後初期値
2024,1,販売,417294,0.35,,default_heuristic,レビュー用の見直し後初期値
2024,1,輸送・機械運転,257536,0.50,,default_heuristic,レビュー用の見直し後初期値
2024,1,農林漁業,16194,0.65,,default_heuristic,レビュー用の見直し後初期値
2024,1,運搬・清掃・包装等,373382,0.48,,default_heuristic,レビュー用の見直し後初期値
2024,1,集計区分,282268,,,,
2024,2,サービス,1009974,0.45,,default_heuristic,レビュー用の見直し後初期値
2024,2,事務,496578,0.35,,default_heuristic,レビュー用の見直し後初期値
2024,2,保安,81561,0.45,,default_heuristic,レビュー用の見直し後初期値
2024,2,分類不能,0,,,,
2024,2,専門・技術,1050502,0.34,,default_heuristic,レビュー用の見直し後初期値
2024,2,建設・採掘,231802,0.55,,default_heuristic,レビュー用の見直し後初期値
2024,2,生産工程,419076,0.50,,default_heuristic,レビュー用の見直し後初期値
2024,2,管理,6887,0.20,,default_heuristic,レビュー用の見直し後初期値
2024,2,販売,419274,0.35,,default_heuristic,レビュー用の見直し後初期値
2024,2,輸送・機械運転,262168,0.50,,default_heuristic,レビュー用の見直し後初期値
2024,2,農林漁業,17795,0.65,,default_heuristic,レビュー用の見直し後初期値
2024,2,運搬・清掃・包装等,383168,0.48,,default_heuristic,レビュー用の見直し後初期値
2024,2,集計区分,281544,,,,
2024,3,サービス,1022787,0.45,,default_heuristic,レビュー用の見直し後初期値
2024,3,事務,481536,0.35,,default_heuristic,レビュー用の見直し後初期値
2024,3,保安,82028,0.45,,default_heuristic,レビュー用の見直し後初期値
2024,3,分類不能,0,,,,
2024,3,専門・技術,1027993,0.34,,default_heuristic,レビュー用の見直し後初期値
2024,3,建設・採掘,233888,0.55,,default_heuristic,レビュー用の見直し後初期値
2024,3,生産工程,421900,0.50,,default_heuristic,レビュー用の見直し後初期値
2024,3,管理,6384,0.20,,default_heuristic,レビュー用の見直し後初期値
2024,3,販売,422408,0.35,,default_heuristic,レビュー用の見直し後初期値
2024,3,輸送・機械運転,264530,0.50,,default_heuristic,レビュー用の見直し後初期値
2024,3,農林漁業,18714,0.65,,default_heuristic,レビュー用の見直し後初期値
2024,3,運搬・清掃・包装等,389974,0.48,,default_heuristic,レビュー用の見直し後初期値
2024,3,集計区分,278676,,,,
2024,4,サービス,1015132,0.45,,default_heuristic,レビュー用の見直し後初期値
2024,4,事務,435638,0.35,,default_heuristic,レビュー用の見直し後初期値
2024,4,保安,81133,0.45,,default_heuristic,レビュー用の見直し後初期値
2024,4,分類不能,0,,,,
2024,4,専門・技術,980714,0.34,,default_heuristic,レビュー用の見直し後初期値
2024,4,建設・採掘,232426,0.55,,default_heuristic,レビュー用の見直し後初期値
2024,4,生産工程,410426,0.50,,default_heuristic,レビュー用の見直し後初期値
2024,4,管理,6274,0.20,,default_heuristic,レビュー用の見直し後初期値
2024,4,販売,415664,0.35,,default_heuristic,レビュー用の見直し後初期値
2024,4,輸送・機械運転,259912,0.50,,default_heuristic,レビュー用の見直し後初期値
2024,4,農林漁業,17926,0.65,,default_heuristic,レビュー用の見直し後初期値
2024,4,運搬・清掃・包装等,383846,0.48,,default_heuristic,レビュー用の見直し後初期値
2024,4,集計区分,272078,,,,
2024,5,サービス,1023513,0.45,,default_heuristic,レビュー用の見直し後初期値
2024,5,事務,417938,0.35,,default_heuristic,レビュー用の見直し後初期値
2024,5,保安,81502,0.45,,default_heuristic,レビュー用の見直し後初期値
2024,5,分類不能,0,,,,
2024,5,専門・技術,989069,0.34,,default_heuristic,レビュー用の見直し後初期値
2024,5,建設・採掘,228338,0.55,,default_heuristic,レビュー用の見直し後初期値
2024,5,生産工程,399918,0.50,,default_heuristic,レビュー用の見直し後初期値
2024,5,管理,6264,0.20,,default_heuristic,レビュー用の見直し後初期値
2024,5,販売,412758,0.35,,default_heuristic,レビュー用の見直し後初期値
2024,5,輸送・機械運転,257018,0.50,,default_heuristic,レビュー用の見直し後初期値
2024,5,農林漁業,17257,0.65,,default_heuristic,レビュー用の見直し後初期値
2024,5,運搬・清掃・包装等,373612,0.48,,default_heuristic,レビュー用の見直し後初期値
2024,5,集計区分,276520,,,,
2024,6,サービス,1010747,0.45,,default_heuristic,レビュー用の見直し後初期値
2024,6,事務,401174,0.35,,default_heuristic,レビュー用の見直し後初期値
2024,6,保安,82715,0.45,,default_heuristic,レビュー用の見直し後初期値
2024,6,分類不能,0,,,,
2024,6,専門・技術,1001485,0.34,,default_heuristic,レビュー用の見直し後初期値
2024,6,建設・採掘,226116,0.55,,default_heuristic,レビュー用の見直し後初期値
2024,6,生産工程,391050,0.50,,default_heuristic,レビュー用の見直し後初期値
2024,6,管理,5998,0.20,,default_heuristic,レビュー用の見直し後初期値
2024,6,販売,407164,0.35,,default_heuristic,レビュー用の見直し後初期値
2024,6,輸送・機械運転,253934,0.50,,default_heuristic,レビュー用の見直し後初期値
2024,6,農林漁業,16271,0.65,,default_heuristic,レビュー用の見直し後初期値
2024,6,運搬・清掃・包装等,361784,0.48,,default_heuristic,レビュー用の見直し後初期値
2024,6,集計区分,275754,,,,
2024,7,サービス,1026934,0.45,,default_heuristic,レビュー用の見直し後初期値
2024,7,事務,406080,0.35,,default_heuristic,レビュー用の見直し後初期値
2024,7,保安,83616,0.45,,default_heuristic,レビュー用の見直し後初期値
2024,7,分類不能,0,,,,
2024,7,専門・技術,1015966,0.34,,default_heuristic,レビュー用の見直し後初期値
2024,7,建設・採掘,228160,0.55,,default_heuristic,レビュー用の見直し後初期値
2024,7,生産工程,395296,0.50,,default_heuristic,レビュー用の見直し後初期値
